name,artist,release_date,length,featured_artists
Come Together - Remastered 2009,The Beatles,01/01/1969,4332433333,
Jumpin’ Jack Flash - Live,The Rolling Stones,01/01/2020,6601333333,"Damaged Bug, King Gizzard & The Lizard Wizard"
Time,Pink Floyd,01/01/1973,6899116667,"Jimmy Buffett, Joe Walsh"
Should I Stay or Should I Go - Remastered,The Clash,01/01/1982,3149766667,"The Cure, The Police, Eddie Money, Europe"
Mr. Brightside,The Killers,01/01/2004,3709766667,"Sum 41, Red Hot Chili Peppers"
Beautiful Day,U2,01/01/2000,4106666667,"Sepultura, Audioslave"
House Of The Rising Sun,The Animals,01/01/1964,4521333333,"The Beatles, The Lovin' Spoonful, The Rolling Stones"
Lola - Coca Cola Version,The Kinks,01/01/1970,4017333333,"The Doobie Brothers, Stevie Wonder"
Loser,Beck,01/01/1994,3916666667,"Bad English, Lenny Kravitz"
Killing In The Name,Rage Against The Machine,01/01/1992,5226216667,"Third Eye Blind, Tom Petty and the Heartbreakers, Guns N' Roses, U2"
All My Life,Foo Fighters,01/01/2002,4378883333,"Stevie Wonder, CMH Steel"
Walk This Way,Aerosmith,01/01/1975,3673333333,"Eagles, Fleetwood Mac, Dolly Parton"
Sultans of Swing,Dire Straits,01/01/1978,5.84,"Meat Loaf, DEVO"
We Will Rock You - Remastered,Queen,01/01/1977,2034433333,"38 Special, Bee Gees, Heart, Dire Straits"
Song 2 - 2012 Remaster,Blur,01/01/1997,2019333333,
Love Will Tear Us Apart - 2010 Remaster,Joy Division,01/01/2010,2833-09-19,
Where The Streets Have No Name - Remastered,U2,01/01/1987,5625083333,
In the End,Linkin Park,01/01/2000,3614666667,"Third Eye Blind, Green Day"
Good Vibrations - Remastered,The Beach Boys,01/01/1967,3650433333,"Buffalo Springfield, Van Morrison"
All Right Now,Free,01/01/1970,5510716667,"The Moody Blues, Creedence Clearwater Revival, America"
Changes - 2015 Remaster,David Bowie,01/01/1971,6291-03-01,"The Beatles, Fleetwood Mac, Deep Purple, John Denver, Bob Dylan"
Paradise City,Guns N' Roses,01/01/1987,6771766667,"Bon Jovi, Bon Jovi, Van Halen, Tom Cochrane"
One (Remastered),Metallica,01/01/1988,3935-11-02,Paul Simon
Hey Joe,Jimi Hendrix,01/01/1967,3502666667,
Sunshine Of Your Love,Cream,01/01/2004,4173333333,"Snow Patrol, Coldplay, Blur"
Give It Away,Red Hot Chili Peppers,01/01/1991,7151-04-01,
Take Me Out,Franz Ferdinand,01/01/2004,3950433333,Blur
Sweet Home Alabama,Lynyrd Skynyrd,01/01/1974,4.73,"The Knack, The Doobie Brothers, The Beatles, America, Elton John"
Highway to Hell,AC/DC,01/01/1979,3473333333,"Billy Joel, The Rolling Stones, Bryan Adams, Fleetwood Mac, KISS"
L.A. Woman,The Doors,01/01/1971,7852666667,"The Beatles, Thin Lizzy, Yes, The Who, Pink Floyd"
American Idiot,Green Day,01/01/2004,9391-02-01,"blink-182, Alien Ant Farm, Muse"
Black Hole Sun,Soundgarden,01/01/1994,5309766667,"Foo Fighters, R.E.M."
Maggie May,Rod Stewart,01/01/1971,5837766667,"Creedence Clearwater Revival, The Beach Boys, The Doobie Brothers, Stevie Wonder, The Doors"
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,01/01/1987,3026-10-18,"Billy Joel, Mötley Crüe, Falco"
Once in a Lifetime - 2005 Remaster,Talking Heads,01/01/1980,4331766667,"The Rolling Stones, Bruce Springsteen, DEVO, Sister Sledge, Dire Straits"
Strawberry Fields Forever - Remastered 2009,The Beatles,01/01/1967,1911-04-14,The Animals
Riders on the Storm,The Doors,01/01/1971,7245333333,"Eagles, Three Dog Night, The Rolling Stones, The Guess Who"
Thunderstruck,AC/DC,01/01/1990,4881333333,"Guns N' Roses, Dead Or Alive, Metallica"
Wonderwall - Remastered,Oasis,01/01/1995,3122-04-01,"Garbage, Powerman 5000, Cracker"
Good Riddance (Time of Your Life),Green Day,01/01/1997,2557766667,"Radiohead, Afroman, UB40"
The Boys Are Back In Town,Thin Lizzy,01/01/1976,4445333333,"Ramones, Earth, Wind & Fire"
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,01/01/1994,2789-02-22,"Red Hot Chili Peppers, Texas, The Beloved, The Presidents Of The United States Of America, Pearl Jam"
Start Me Up - Remastered,The Rolling Stones,01/01/1981,5511-03-01,"Katrina & The Waves, Patrick Hernandez, The Cure, Iron Maiden, Meat Loaf"
Blitzkrieg Bop - 2016 Remaster,Ramones,01/01/1976,2411-02-01,"Stevie Wonder, Commodores, Meat Loaf"
Fight For Your Right,Beastie Boys,01/01/1986,2852-02-12,Talk Talk
The One I Love - Remastered,R.E.M.,01/01/1987,3296666667,Tears For Fears
Walk On the Wild Side,Lou Reed,01/01/1972,4236216667,"Pink Floyd, Nick Drake"
Under Pressure - (Tribute to Queen & David Bowie),Studio Allstars,01/01/2009,3786883333,"Ameritz Audio Karaoke, The Crazy Horses, Sing Karaoke Sing, Players Since Creation, Singer's Edge Karaoke"
Yellow,Coldplay,01/01/2000,4446216667,Various Artists
Ramble On - 1990 Remaster,Led Zeppelin,01/01/1969,4388883333,"Mott The Hoople, The Beatles"
We Are The Champions - Remastered 2011,Queen,01/01/1977,2986666667,Bruce Springsteen
Go Your Own Way - 2004 Remaster,Fleetwood Mac,01/01/1977,3726883333,"Elton John, The Doobie Brothers, Electric Light Orchestra, Donna Summer"
Numb,Linkin Park,01/01/2003,0931-03-01,"New Radicals, Jet, Kid Rock"
Blue Monday - 2016 Remaster,New Order,01/01/2005,7513333333,TOOL
While My Guitar Gently Weeps - Third Version / Take 27,The Beatles,01/01/2018,3288433333,
I Love Rock 'N Roll,Joan Jett & The Blackhearts,01/01/1981,2699-05-05,"Rod Stewart, Queen"
White Room,Cream,01/01/1968,4972216667,
How You Remind Me,Nickelback,01/01/2001,3730666667,"Journey, Linkin Park, Blur, Green Day"
Space Oddity - 2015 Remaster,David Bowie,01/01/1969,3354-10-18,
The Weight - Remastered,The Band,01/01/1968,4574883333,"The Beach Boys, Grateful Dead, Cream, The Supremes"
Sledgehammer - 2012 Remaster,Peter Gabriel,01/01/1986,5199766667,"The Human League, Robert Plant, Mötley Crüe, R.E.M., Indigo Girls"
Mysterious Ways,U2,01/01/1991,4059766667,"The Church, The Commitments, Nine Inch Nails, Ozzy Osbourne, Nirvana"
Bring Me To Life,Evanescence,01/01/2003,2976-06-01,"Saliva, Thirty Seconds To Mars"
You Really Got Me - Mono Mix,The Kinks,01/01/1964,2512-08-13,"The Beatles, Bob Seger"
Been Caught Stealing,Jane's Addiction,01/01/1990,3578433333,"Neil Young, Tripping Daisy, Ozzy Osbourne"
Plush - 2017 Remaster,Stone Temple Pilots,01/01/1992,5232433333,
Rock the Casbah - Remastered,The Clash,01/01/1982,7071-03-01,"Donna Summer, Iggy Pop, Guns N' Roses, Supertramp, KISS"
Foxey Lady,Jimi Hendrix,01/01/1997,3304883333,"Manic Street Preachers, Tonic"
Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,01/01/1975,5601-01-31,"David Bowie, Bob Seger"
Livin' On A Prayer,Bon Jovi,01/01/1986,4154883333,Jimmy Barnes
Me and Bobby McGee,Janis Joplin,01/01/1971,4522216667,Eric Carmen
Who Are You,The Who,01/01/1978,6360433333,
Brown Sugar - 2009 Mix,The Rolling Stones,01/01/1971,8111-03-01,
Black,Pearl Jam,01/01/1991,5710883333,"TOOL, Queen"
Lust For Life,Iggy Pop,01/01/1977,5232083333,The Rolling Stones
Carry on Wayward Son,Kansas,01/01/1976,5383333333,
Rock And Roll All Nite,KISS,01/01/1975,1907-09-14,"Bruce Springsteen, Diana Ross, Faces"
American Pie,Don McLean,01/01/1971,8614883333,
Cocaine,Eric Clapton,01/01/1977,1910-02-10,Lou Reed
Runnin' with the Devil - 2015 Remaster,Van Halen,01/01/1978,3582666667,"Bruce Springsteen, KISS, Dire Straits, Tom Petty and the Heartbreakers"
Honky Tonk Women - Live,The Rolling Stones,01/01/2020,4.91,"Berlin, CID"
Clocks,Coldplay,01/01/2002,5131316667,The Goo Goo Dolls
Best of You,Foo Fighters,01/01/2005,4260433333,
Ziggy Stardust - 2012 Remaster,David Bowie,01/01/1972,3240666667,
By the Way,Red Hot Chili Peppers,01/01/2002,2889-11-24,"Deee-Lite, The Used, Linkin Park"
Paranoid Android,Radiohead,01/01/1997,3666-12-01,The Prodigy
Personal Jesus - Single Version,Depeche Mode,01/01/1998,3748883333,"The Goo Goo Dolls, Rage Against The Machine, Green Day"
In Bloom - Nevermind Version,Nirvana,01/01/1991,4251333333,
Dirty Deeds Done Dirt Cheap,AC/DC,01/01/1976,2958-05-07,
Karma Police,Radiohead,01/01/1997,4011-04-01,"George Michael, Sheryl Crow, Filter, The Strokes, Train"
Revolution - Remastered 2009,The Beatles,01/01/1973,2836-10-13,"Dire Straits, Bruce Springsteen, Journey, Steppenwolf"
Free Fallin',Tom Petty,01/01/1989,4266666667,"The Cure, Skid Row"
Something - Remastered 2009,The Beatles,01/01/1969,3038216667,John Denver
How Soon Is Now? - 2011 Remaster,The Smiths,01/01/1984,6802883333,"ZZ Top, Talking Heads, Beastie Boys, Motörhead, The Cure"
A Whiter Shade of Pale - Original Single Version,Procol Harum,01/01/1967,1491-04-01,
Buddy Holly,Various Artists,01/01/2020,2682883333,The Cars
Black Magic Woman - Single Version,Santana,01/01/1969,3274433333,"Al Green, Pink Floyd, Leonard Cohen"
Boulevard of Broken Dreams,Green Day,01/01/2017,4372216667,"Mumford & Sons, Queen, fun., Procol Harum, Various Artists"
Bang A Gong (Get It On) (Electric Version),T. Rex,01/01/2010,4744716667,"The Godfathers, Weezer, Foo Fighters, Gary Clark Jr., OneRepublic"
Wild Horses - 2009 Mix,The Rolling Stones,01/01/1971,5696216667,"The Turtles, The Beatles"
Another One Bites The Dust - Remastered 2011,Queen,01/01/1980,2879-06-30,"Talking Heads, The Cars, Chicago, Daryl Hall & John Oates, Foreigner"
Lithium,Nirvana,01/01/1991,4284216667,"Def Leppard, The Cranberries, Sting, Joe Cocker, R.E.M."
Yesterday - Remastered 2009,The Beatles,01/01/1965,2094433333,"James Taylor, The Velvet Underground"
When I Come Around,Green Day,01/01/1994,2966666667,"Marilyn Manson, New Radicals"
Sex on Fire,Kings of Leon,01/01/2008,3891-03-01,"Three Days Grace, Madonna, The Temper Trap, Muse, Linkin Park"
Heart of Gold - 2009 Remaster,Neil Young,01/01/1972,3116883333,
Hey Ya! - Radio Mix,OutKast,01/01/2003,3920216667,Linkin Park
Superstition - Single Version,Stevie Wonder,01/01/2002,3020-03-23,"Luke Haines, The Hit Co., Foo Fighters, Hoobastank, Stampeders"
Hells Bells,AC/DC,01/01/1980,5204883333,"Blue Öyster Cult, Duran Duran"
Eleanor Rigby - Remastered 2009,The Beatles,01/01/1966,2108883333,Eddie Floyd
No One Knows,Queens of the Stone Age,01/01/2002,6451-04-01,Lily Allen
Ace of Spades,Motörhead,01/01/1980,1907-08-13,
A Hard Day's Night - Remastered 2009,The Beatles,01/01/1964,2.57,
Tom Sawyer,Rush,01/01/1981,4614666667,"Tears For Fears, Talking Heads, Blue Öyster Cult"
Fortunate Son,Creedence Clearwater Revival,01/01/1969,2346216667,"Rod Stewart, Carly Simon, George Harrison"
Anarchy In The U.K. - Live From Finsbury Park,Sex Pistols,01/01/1996,2869-08-21,"Black Sabbath, H-Blockx, Hoodoo Gurus"
Drive,Incubus,01/01/1999,3874216667,"Powderfinger, Texas, Modest Mouse"
Somebody to Love,Jefferson Airplane,01/01/1967,1907-12-23,"The Beatles, The Beatles, David Bowie, Stevie Wonder"
School's Out,Alice Cooper,01/01/1972,3501766667,"The Spinners, Wings, Bob Dylan, Led Zeppelin"
Respect,Aretha Franklin,01/01/1967,2.46,"The Beatles, Yusuf / Cat Stevens"
Last Resort,Papa Roach,01/01/2000,2812-02-22,"Forty Deuce, Shania Twain, Cha Cha Cohen, 6gig, blink-182"
Refugee,Tom Petty and the Heartbreakers,01/01/1979,2820-05-10,"Yes, Descendents, Eagles, Bad Company, The Clash"
La Grange - 2005 Remaster,ZZ Top,01/01/1973,3841333333,Rod Stewart
Bad Moon Rising,Creedence Clearwater Revival,01/01/1969,2.36,The Doors
Nights In White Satin - Single Version / Mono Mix,The Moody Blues,01/01/1967,4851-04-01,"Donovan, Harry Nilsson, Led Zeppelin"
Bridge Over Troubled Water,Simon & Garfunkel,01/01/1970,4885333333,"Crosby, Stills & Nash"
All Apologies,Nirvana,01/01/1993,3886216667,"Phil Collins, Alice In Chains, Urge Overkill, Orgy"
Born in the U.S.A.,Bruce Springsteen,01/01/1984,4644666667,"Diana Ross, AC/DC, Billy Joel"
Pour Some Sugar On Me - Remastered 2017,Def Leppard,01/01/1987,4551-04-01,"New Order, a-ha, Bon Jovi"
Better Man,Pearl Jam,01/01/1994,4476433333,
Over the Hills and Far Away - 1990 Remaster,Led Zeppelin,01/01/1973,4822666667,Elton John
Blister In The Sun,Violent Femmes,01/01/1983,2428433333,
Californication,Red Hot Chili Peppers,01/01/1999,3404-08-17,
Roadhouse Blues (Takes 1 & 2) [We're Gonna Have A Real Good Time] - 2020 Remaster,The Doors,01/01/2020,5000883333,"Marianne Faithfull, Jota Quest"
Tiny Dancer,Elton John,01/01/1971,6284883333,"America, Roberta Flack, The Rolling Stones, Pink Floyd"
Aqualung,Jethro Tull,01/01/1971,6031-06-01,"Fleetwood Mac, The Doors, The Band"
Knockin' On Heaven's Door,Bob Dylan,01/01/1973,1906-11-02,"Steve Miller Band, Joni Mitchell"
For What It's Worth,Buffalo Springfield,01/01/1966,2601-04-29,"Bee Gees, The Beatles"
White Rabbit,Jefferson Airplane,01/01/1967,2510666667,"Carpenters, Bee Gees"
What's Going On,Marvin Gaye,01/01/1971,9411-03-01,"The Doors, Elvis Presley, Steve Harley, Boz Scaggs"
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,01/01/1974,3914433333,Aerosmith
Thunder Road,Bruce Springsteen,01/01/1975,1913-03-04,"Tom Petty and the Heartbreakers, Led Zeppelin, Edwin Starr, Boston"
Tumbling Dice,The Rolling Stones,01/01/1972,3772216667,"Blue Öyster Cult, The Guess Who, Neil Diamond"
Ruby Tuesday,The Rolling Stones,01/01/1967,3274883333,"Dr. Hook, Them, Paul McCartney, Booker T. & the M.G.'s, The Yardbirds"
Epic,Faith No More,01/01/1989,4894216667,"Talk Talk, Phil Collins, Iron Maiden, Neil Young, Alice Cooper"
Crazy Train,Ozzy Osbourne,01/01/1980,4936666667,
Live Forever - Remastered,Oasis,01/01/1994,4611016667,"Red Snapper, Teenage Fanclub"
Dust in the Wind,Kansas,01/01/1977,3437766667,"Pink Floyd, Gerry Rafferty"
Pinball Wizard,The Who,01/01/1969,3015716667,Three Dog Night
In The Air Tonight - 2015 Remastered,Phil Collins,01/01/1981,3435-04-17,
Burning Down the House,Talking Heads,01/01/1983,1911-01-14,"ZZ Top, AC/DC, Duran Duran, Dio, Dire Straits"
Suite: Judy Blue Eyes - 2005 Remaster,Crosby,01/01/1969,7400883333,
Paradise By the Dashboard Light,Meat Loaf,01/01/1977,8472216667,"Asia, Foreigner"
Bennie And The Jets - Remastered 2014,Elton John,01/01/1973,3758-05-01,"The Rolling Stones, Wings, The Isley Brothers, Sly & The Family Stone, Fleetwood Mac"
Johnny B. Goode,Chuck Berry,01/01/1959,2692666667,
One Step Closer,Linkin Park,01/01/2000,2622216667,"Quiet Riot, The Prodigy, Korn, Kid Rock"
The Boys Of Summer,Don Henley,01/01/1984,4812216667,
All The Small Things,blink-182,01/01/1999,2025-08-02,"Cha Cha Cohen, Foo Fighters, Shania Twain"
Chop Suey!,System Of A Down,01/01/2001,1909-08-04,"Rage Against The Machine, Foo Fighters"
No Woman,Various Artists,01/01/2020,2433633333,
Immigrant Song - Remaster,Led Zeppelin,01/01/1970,4375-02-01,"Elton John, The Beatles, The Doobie Brothers, Jimi Hendrix, KISS"
Proud Mary,Various Artists,01/01/2020,3079766667,"Streetheart, Earth Tongue, Brian McKnight, Budgie"
The End,The Doors,01/01/1967,1172288333,"The Beatles, Johnny Cash, Jefferson Airplane, Van Morrison"
Scar Tissue,Red Hot Chili Peppers,01/01/1999,3598433333,"Crossfade, The Smashing Pumpkins, Avril Lavigne, Sublime"
Rebel Yell,Billy Idol,01/01/1983,4808883333,"Sonic Youth, The Rolling Stones, Iron Maiden"
Vertigo,U2,01/01/2004,1908-11-15,Story Of The Year
Times Like These,Foo Fighters,01/01/2002,4427333333,"The Grumpies, Afa, Thumb, Queen"
I Wanna Be Sedated,Ramones,01/01/1978,2496433333,"Rush, Van Halen, Elton John, Duran Duran"
It's Only Rock'n'Roll (But I Like It) - Remastered 2009,The Rolling Stones,01/01/1974,1914-01-10,"Blondie, Blue Öyster Cult, Van Halen, Elton John, George Harrison"
White Wedding - Pt. 1,Billy Idol,01/01/1982,4203333333,AC/DC
Sabotage,Beastie Boys,01/01/1994,1908-02-21,"Robbie Williams, Powerman 5000, Foo Fighters, The Offspring"
Brown Eyed Girl,Van Morrison,01/01/1967,0551-03-01,
Somebody To Love - Remastered 2011,Queen,01/01/1976,3252-12-11,"Boston, Ramones, Commodores"
Rockin' in the Free World,Neil Young,01/01/1989,3186-02-21,Alice In Chains
Uprising,Muse,01/01/2009,5080666667,"Cage The Elephant, Slipknot, Mudvayne"
Fake Plastic Trees,Radiohead,01/01/1995,8451-04-01,"Joni Mitchell, Daryl Braithwaite, Bonnie Raitt"
Train in Vain (Stand by Me) - Remastered,The Clash,01/01/1979,3244433333,"Eagles, David Bowie, Lynyrd Skynyrd, U2, AC/DC"
Lightning Crashes,Live,01/01/1994,5426666667,
Wake Me up When September Ends,Green Day,01/01/2004,4760883333,"Justin Timberlake, Nickelback, Madonna, Gnarls Barkley"
Be My Baby,The Ronettes,01/01/2011,2681766667,Three Days Grace
Get Back - Remastered 2009,The Beatles,01/01/1970,3156433333,"The Spencer Davis Group, The Doors"
Are You Gonna Go My Way,Lenny Kravitz,01/01/1993,3532216667,"Aerosmith, Pantera, Cher"
Hey You,Pink Floyd,01/01/1979,4640666667,Styx
Under My Thumb,The Rolling Stones,01/01/1966,3692216667,Free
Behind Blue Eyes,The Who,01/01/1971,3690433333,"The Doobie Brothers, Boston, The Beatles, Creedence Clearwater Revival, Led Zeppelin"
Instant Karma! (We All Shine On) - Remastered 2010,John Lennon,01/01/2010,3344216667,"Kings of Leon, Carolina Liar, Arctic Monkeys, Red Hot Chili Peppers"
Help! - Remastered 2009,The Beatles,01/01/1965,1906-05-14,"Creedence Clearwater Revival, The Rolling Stones"
Dancing Queen,ABBA,01/01/1976,3844883333,"The O'Jays, Daryl Hall & John Oates"
Barracuda,Heart,01/01/1977,3095-03-30,"Ramones, Electric Light Orchestra, Bob Seger"
Today - Remastered,The Smashing Pumpkins,01/01/1993,3352883333,"Ozzy Osbourne, Various Artists, Stevie Nicks"
Radar Love,Golden Earring,01/01/2008,4451-06-01,"Lily Allen, Bobby Darin, The Fratellis, Florence + The Machine, Thirty Seconds To Mars"
Rocket Man (I Think It's Going To Be A Long,Elton John,01/01/1972,3185-01-17,"Aerosmith, Talking Heads"
Champagne Supernova - Remastered,Oasis,01/01/1995,1920-08-04,"Blur, Nirvana"
Beds Are Burning - Remastered,Midnight Oil,01/01/1997,4302883333,
Brass in Pocket - 2006 Remaster,Pretenders,01/01/1980,3099333333,"Queen, Rick James, Def Leppard"
Piece of My Heart,Big Brother & The Holding Company,01/01/1968,4222216667,"Cream, The Doors"
Tangled up in Blue,Bob Dylan,01/01/1975,5693766667,"Three Dog Night, Frank Zappa, Foghat, Bachman-Turner Overdrive"
My Sweet Lord - Remastered 2014,George Harrison,01/01/1970,6871-04-01,
The Joker,Steve Miller Band,01/01/1973,4408383333,
American Woman,The Guess Who,01/01/1970,5124883333,Ted Nugent
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,01/01/1995,4307766667,"Spandau Ballet, The Cranberries, Red Hot Chili Peppers, Korn, Guns N' Roses"
Would?,Alice In Chains,01/01/1992,3446216667,"Sonic Youth, EMF, Cake, George Harrison, Spin Doctors"
Heart-Shaped Box,Nirvana,01/01/1993,1912-10-29,"Godsmack, Bon Jovi, Jon Bon Jovi"
Closer,Nine Inch Nails,01/01/1994,6221766667,"U2, Creed, Peter Murphy"
Sober,TOOL,01/01/1993,5114216667,Cher
Magic Carpet Ride,Steppenwolf,01/01/1968,4526216667,"Deep Purple, The Spencer Davis Group, The Who, The Animals, The Who"
Rock You Like A Hurricane,Scorpions,01/01/1984,4208216667,
Last Nite,The Strokes,01/01/2001,3222883333,Switchfoot
Fat Bottomed Girls - Remastered 2011,Queen,01/01/1978,4.26,
The Middle,Jimmy Eat World,01/01/2001,2764216667,"Daniel Powter, Muse, Audioslave"
Heroes - 2017 Remaster,David Bowie,01/01/1977,6190216667,"Supertramp, Steely Dan"
Dancing In the Dark,Bruce Springsteen,01/01/1984,4021766667,Guns N' Roses
Touch Me,The Doors,01/01/1969,3170883333,"The Searchers, Raspberries, Led Zeppelin"
Louie Louie,The Kingsmen,01/01/2006,2654-08-29,"Bobby Darin, The Ronettes, Creed, The Fray"
