index,name,artist,release_date,length,popularity,featured_artists
45,Baba O'Riley,The Who,1971,5.006666667,77,"AC/DC, Carly Simon"
46,Jeremy,Pearl Jam,1991,5.303766667,72,Aerosmith
47,Welcome To The Jungle,Guns N' Roses,1987,4.533766667,78,"Dead Or Alive, Faith No More, Spin Doctors, George Harrison, Billy Joel"
48,Bitter Sweet Symphony,The Verve,1997,5.954433333,78,Nirvana
49,Roxanne,The Police,1978,3.1991,76,"Earth, Wind & Fire, Jackson Browne, Aerosmith, The Knack"
50,Money,Pink Floyd,1973,6.380566667,72,Rod Stewart
51,Every Breath You Take - Remastered 2003,The Police,1983,4.231433333,3,Lillian Axe
52,A Day In The Life - Remastered 2009,The Beatles,1967,5.62355,66,The Rolling Stones
53,Sweet Emotion,Aerosmith,1975,4.568883333,75,Thin Lizzy
54,Born To Be Wild - Single Version,Steppenwolf,1968,3.548216667,68,"Bob Dylan, Led Zeppelin"
55,New Year's Day - Single Edit - Remastered,U2,1983,3.92955,57,Paul Simon
56,"Paint It, Black",The Rolling Stones,1966,3.3711,78,"Big Brother & The Holding Company, The Beatles, The Beatles, Steppenwolf"
57,Black Dog - Remaster,Led Zeppelin,1971,4.9231,72,
58,Basket Case,Green Day,1994,3.02555,79,"The Verve, Lenny Kravitz, Santana, The Offspring"
59,November Rain,Guns N' Roses,1991,8.934433333,80,"The Cranberries, Cher, Phil Collins, Soul Asylum"
60,Even Flow,Pearl Jam,1991,4.876333333,75,
61,You Can't Always Get What You Want,The Rolling Stones,1969,7.478666667,67,"The Supremes, The Doors, Marvin Gaye, Creedence Clearwater Revival"
62,Money for Nothing,Dire Straits,1985,8.44,62,The Black Sorrows
63,Nothing Else Matters,Metallica,1991,6.478883333,69,Glenn Medeiros
64,Everlong,Foo Fighters,1997,4.175766667,78,"Soundgarden, Nirvana"
65,Angie,The Rolling Stones,1973,4.533333333,73,"Eagles, Pink Floyd, David Bowie, Cheap Trick"
66,Jump - 2015 Remaster,Van Halen,1984,4.02665,79,
67,(Don't Fear) The Reaper,Blue Öyster Cult,1976,5.135333333,77,"AC/DC, Van Halen, Bruce Springsteen"
68,Come Together - Remastered 2009,The Beatles,1969,4.332433333,78,
69,Jumpin’ Jack Flash - Live,The Rolling Stones,2020,6.601333333,31,"Damaged Bug, King Gizzard & The Lizard Wizard"
70,Time,Pink Floyd,1973,6.899116667,70,"Jimmy Buffett, Joe Walsh"
71,Should I Stay or Should I Go - Remastered,The Clash,1982,3.149766667,79,"The Cure, The Police, Eddie Money, Europe"
72,Mr. Brightside,The Killers,2004,3.709766667,76,"Sum 41, Red Hot Chili Peppers"
73,Beautiful Day,U2,2000,4.106666667,64,"Sepultura, Audioslave"
74,House Of The Rising Sun,The Animals,1964,4.521333333,70,"The Beatles, The Lovin' Spoonful, The Rolling Stones"
75,Lola - Coca Cola Version,The Kinks,1970,4.017333333,70,"The Doobie Brothers, Stevie Wonder"
76,Loser,Beck,1994,3.916666667,70,"Bad English, Lenny Kravitz"
77,Killing In The Name,Rage Against The Machine,1992,5.226216667,78,"Third Eye Blind, Tom Petty and the Heartbreakers, Guns N' Roses, U2"
78,All My Life,Foo Fighters,2002,4.378883333,1,"Stevie Wonder, CMH Steel"
79,Walk This Way,Aerosmith,1975,3.673333333,75,"Eagles, Fleetwood Mac, Dolly Parton"
80,Sultans of Swing,Dire Straits,1978,5.84,67,"Meat Loaf, DEVO"
81,We Will Rock You - Remastered,Queen,1977,2.034433333,69,"38 Special, Bee Gees, Heart, Dire Straits"
82,Song 2 - 2012 Remaster,Blur,1997,2.019333333,76,
83,Love Will Tear Us Apart - 2010 Remaster,Joy Division,2010,3.41035,60,
84,Where The Streets Have No Name - Remastered,U2,1987,5.625083333,66,
85,In the End,Linkin Park,2000,3.614666667,84,"Third Eye Blind, Green Day"
86,Good Vibrations - Remastered,The Beach Boys,1967,3.650433333,70,"Buffalo Springfield, Van Morrison"
87,All Right Now,Free,1970,5.510716667,70,"The Moody Blues, Creedence Clearwater Revival, America"
88,Changes - 2015 Remaster,David Bowie,1971,3.6291,65,"The Beatles, Fleetwood Mac, Deep Purple, John Denver, Bob Dylan"
89,Paradise City,Guns N' Roses,1987,6.771766667,1,"Bon Jovi, Bon Jovi, Van Halen, Tom Cochrane"
90,One (Remastered),Metallica,1988,7.43575,67,Paul Simon
91,Hey Joe,Jimi Hendrix,1967,3.502666667,71,
92,Sunshine Of Your Love,Cream,2004,4.173333333,71,"Snow Patrol, Coldplay, Blur"
93,Give It Away,Red Hot Chili Peppers,1991,4.7151,73,
94,Take Me Out,Franz Ferdinand,2004,3.950433333,74,Blur
95,Sweet Home Alabama,Lynyrd Skynyrd,1974,4.73,82,"The Knack, The Doobie Brothers, The Beatles, America, Elton John"
96,Highway to Hell,AC/DC,1979,3.473333333,84,"Billy Joel, The Rolling Stones, Bryan Adams, Fleetwood Mac, KISS"
97,L.A. Woman,The Doors,1971,7.852666667,67,"The Beatles, Thin Lizzy, Yes, The Who, Pink Floyd"
98,American Idiot,Green Day,2004,2.9391,79,"blink-182, Alien Ant Farm, Muse"
99,Black Hole Sun,Soundgarden,1994,5.309766667,76,"Foo Fighters, R.E.M."
100,Maggie May,Rod Stewart,1971,5.837766667,72,"Creedence Clearwater Revival, The Beach Boys, The Doobie Brothers, Stevie Wonder, The Doors"
101,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,1987,4.11555,69,"Billy Joel, Mötley Crüe, Falco"
102,Once in a Lifetime - 2005 Remaster,Talking Heads,1980,4.331766667,71,"The Rolling Stones, Bruce Springsteen, DEVO, Sister Sledge, Dire Straits"
103,Strawberry Fields Forever - Remastered 2009,The Beatles,1967,4.122,70,The Animals
104,Riders on the Storm,The Doors,1971,7.245333333,74,"Eagles, Three Dog Night, The Rolling Stones, The Guess Who"
105,Thunderstruck,AC/DC,1990,4.881333333,82,"Guns N' Roses, Dead Or Alive, Metallica"
106,Wonderwall - Remastered,Oasis,1995,4.3122,40,"Garbage, Powerman 5000, Cracker"
107,Good Riddance (Time of Your Life),Green Day,1997,2.557766667,75,"Radiohead, Afroman, UB40"
108,The Boys Are Back In Town,Thin Lizzy,1976,4.445333333,74,"Ramones, Earth, Wind & Fire"
109,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,1994,3.24755,72,"Red Hot Chili Peppers, Texas, The Beloved, The Presidents Of The United States Of America, Pearl Jam"
110,Start Me Up - Remastered,The Rolling Stones,1981,3.5511,76,"Katrina & The Waves, Patrick Hernandez, The Cure, Iron Maiden, Meat Loaf"
111,Blitzkrieg Bop - 2016 Remaster,Ramones,1976,2.2411,71,"Stevie Wonder, Commodores, Meat Loaf"
112,Fight For Your Right,Beastie Boys,1986,3.47755,69,Talk Talk
113,The One I Love - Remastered,R.E.M.,1987,3.296666667,64,Tears For Fears
114,Walk On the Wild Side,Lou Reed,1972,4.236216667,75,"Pink Floyd, Nick Drake"
115,Under Pressure - (Tribute to Queen & David Bowie),Studio Allstars,2009,3.786883333,0,"Ameritz Audio Karaoke, The Crazy Horses, Sing Karaoke Sing, Players Since Creation, Singer's Edge Karaoke"
116,Yellow,Coldplay,2000,4.446216667,84,Various Artists
117,Ramble On - 1990 Remaster,Led Zeppelin,1969,4.388883333,70,"Mott The Hoople, The Beatles"
118,We Are The Champions - Remastered 2011,Queen,1977,2.986666667,64,Bruce Springsteen
119,Go Your Own Way - 2004 Remaster,Fleetwood Mac,1977,3.726883333,75,"Elton John, The Doobie Brothers, Electric Light Orchestra, Donna Summer"
120,Numb,Linkin Park,2003,3.0931,82,"New Radicals, Jet, Kid Rock"
121,Blue Monday - 2016 Remaster,New Order,2005,7.513333333,69,TOOL
122,While My Guitar Gently Weeps - Third Version / Take 27,The Beatles,2018,3.288433333,31,
123,I Love Rock 'N Roll,Joan Jett & The Blackhearts,1981,2.91955,73,"Rod Stewart, Queen"
124,White Room,Cream,1968,4.972216667,72,
125,How You Remind Me,Nickelback,2001,3.730666667,78,"Journey, Linkin Park, Blur, Green Day"
126,Space Oddity - 2015 Remaster,David Bowie,1969,5.31355,73,
127,The Weight - Remastered,The Band,1968,4.574883333,73,"The Beach Boys, Grateful Dead, Cream, The Supremes"
128,Sledgehammer - 2012 Remaster,Peter Gabriel,1986,5.199766667,57,"The Human League, Robert Plant, Mötley Crüe, R.E.M., Indigo Girls"
129,Mysterious Ways,U2,1991,4.059766667,61,"The Church, The Commitments, Nine Inch Nails, Ozzy Osbourne, Nirvana"
130,Bring Me To Life,Evanescence,2003,3.93155,80,"Saliva, Thirty Seconds To Mars"
131,You Really Got Me - Mono Mix,The Kinks,1964,2.23755,71,"The Beatles, Bob Seger"
132,Been Caught Stealing,Jane's Addiction,1990,3.578433333,58,"Neil Young, Tripping Daisy, Ozzy Osbourne"
133,Plush - 2017 Remaster,Stone Temple Pilots,1992,5.232433333,62,
134,Rock the Casbah - Remastered,The Clash,1982,3.7071,72,"Donna Summer, Iggy Pop, Guns N' Roses, Supertramp, KISS"
135,Foxey Lady,Jimi Hendrix,1997,3.304883333,46,"Manic Street Preachers, Tonic"
136,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,1975,13.51795,66,"David Bowie, Bob Seger"
137,Livin' On A Prayer,Bon Jovi,1986,4.154883333,2,Jimmy Barnes
138,Me and Bobby McGee,Janis Joplin,1971,4.522216667,72,Eric Carmen
139,Who Are You,The Who,1978,6.360433333,69,
140,Brown Sugar - 2009 Mix,The Rolling Stones,1971,3.8111,69,
141,Black,Pearl Jam,1991,5.710883333,74,"TOOL, Queen"
142,Lust For Life,Iggy Pop,1977,5.232083333,67,The Rolling Stones
143,Carry on Wayward Son,Kansas,1976,5.383333333,75,
144,Rock And Roll All Nite,KISS,1975,2.814,75,"Bruce Springsteen, Diana Ross, Faces"
145,American Pie,Don McLean,1971,8.614883333,75,
146,Cocaine,Eric Clapton,1977,3.694,67,Lou Reed
147,Runnin' with the Devil - 2015 Remaster,Van Halen,1978,3.582666667,72,"Bruce Springsteen, KISS, Dire Straits, Tom Petty and the Heartbreakers"
148,Honky Tonk Women - Live,The Rolling Stones,2020,4.91,35,"Berlin, CID"
149,Clocks,Coldplay,2002,5.131316667,77,The Goo Goo Dolls
150,Best of You,Foo Fighters,2005,4.260433333,76,
151,Ziggy Stardust - 2012 Remaster,David Bowie,1972,3.240666667,64,
152,By the Way,Red Hot Chili Peppers,2002,3.61555,73,"Deee-Lite, The Used, Linkin Park"
153,Paranoid Android,Radiohead,1997,6.45355,67,The Prodigy
154,Personal Jesus - Single Version,Depeche Mode,1998,3.748883333,70,"The Goo Goo Dolls, Rage Against The Machine, Green Day"
155,In Bloom - Nevermind Version,Nirvana,1991,4.251333333,65,
156,Dirty Deeds Done Dirt Cheap,AC/DC,1976,3.86555,74,
157,Karma Police,Radiohead,1997,4.4011,74,"George Michael, Sheryl Crow, Filter, The Strokes, Train"
158,Revolution - Remastered 2009,The Beatles,1973,3.42155,66,"Dire Straits, Bruce Springsteen, Journey, Steppenwolf"
159,Free Fallin',Tom Petty,1989,4.266666667,78,"The Cure, Skid Row"
160,Something - Remastered 2009,The Beatles,1969,3.038216667,71,John Denver
161,How Soon Is Now? - 2011 Remaster,The Smiths,1984,6.802883333,70,"ZZ Top, Talking Heads, Beastie Boys, Motörhead, The Cure"
162,A Whiter Shade of Pale - Original Single Version,Procol Harum,1967,4.1491,47,
163,Buddy Holly,Various Artists,2020,2.682883333,4,The Cars
164,Black Magic Woman - Single Version,Santana,1969,3.274433333,67,"Al Green, Pink Floyd, Leonard Cohen"
165,Boulevard of Broken Dreams,Green Day,2017,4.372216667,75,"Mumford & Sons, Queen, fun., Procol Harum, Various Artists"
166,Bang A Gong (Get It On) (Electric Version),T. Rex,2010,4.744716667,44,"The Godfathers, Weezer, Foo Fighters, Gary Clark Jr., OneRepublic"
167,Wild Horses - 2009 Mix,The Rolling Stones,1971,5.696216667,72,"The Turtles, The Beatles"
168,Another One Bites The Dust - Remastered 2011,Queen,1980,3.57755,73,"Talking Heads, The Cars, Chicago, Daryl Hall & John Oates, Foreigner"
169,Lithium,Nirvana,1991,4.284216667,68,"Def Leppard, The Cranberries, Sting, Joe Cocker, R.E.M."
170,Yesterday - Remastered 2009,The Beatles,1965,2.094433333,77,"James Taylor, The Velvet Underground"
171,When I Come Around,Green Day,1994,2.966666667,74,"Marilyn Manson, New Radicals"
172,Sex on Fire,Kings of Leon,2008,3.3891,80,"Three Days Grace, Madonna, The Temper Trap, Muse, Linkin Park"
173,Heart of Gold - 2009 Remaster,Neil Young,1972,3.116883333,73,
174,Hey Ya! - Radio Mix,OutKast,2003,3.920216667,78,Linkin Park
175,Superstition - Single Version,Stevie Wonder,2002,4.09155,0,"Luke Haines, The Hit Co., Foo Fighters, Hoobastank, Stampeders"
176,Hells Bells,AC/DC,1980,5.204883333,75,"Blue Öyster Cult, Duran Duran"
177,Eleanor Rigby - Remastered 2009,The Beatles,1966,2.108883333,69,Eddie Floyd
178,No One Knows,Queens of the Stone Age,2002,4.6451,65,Lily Allen
179,Ace of Spades,Motörhead,1980,2.782,74,
180,A Hard Day's Night - Remastered 2009,The Beatles,1964,2.57,67,
181,Tom Sawyer,Rush,1981,4.614666667,72,"Tears For Fears, Talking Heads, Blue Öyster Cult"
182,Fortunate Son,Creedence Clearwater Revival,1969,2.346216667,81,"Rod Stewart, Carly Simon, George Harrison"
183,"Anarchy In The U.K. - Live From Finsbury Park,London,United Kingdom/1996",Sex Pistols,1996,3.54155,30,"Black Sabbath, H-Blockx, Hoodoo Gurus"
184,Drive,Incubus,1999,3.874216667,74,"Powderfinger, Texas, Modest Mouse"
185,Somebody to Love,Jefferson Airplane,1967,2.914,72,"The Beatles, The Beatles, David Bowie, Stevie Wonder"
186,School's Out,Alice Cooper,1972,3.501766667,67,"The Spinners, Wings, Bob Dylan, Led Zeppelin"
187,Respect,Aretha Franklin,1967,2.46,73,"The Beatles, Yusuf / Cat Stevens"
188,Last Resort,Papa Roach,2000,3.33155,2,"Forty Deuce, Shania Twain, Cha Cha Cohen, 6gig, blink-182"
189,Refugee,Tom Petty and the Heartbreakers,1979,3.36155,64,"Yes, Descendents, Eagles, Bad Company, The Clash"
190,La Grange - 2005 Remaster,ZZ Top,1973,3.841333333,76,Rod Stewart
191,Bad Moon Rising,Creedence Clearwater Revival,1969,2.36,78,The Doors
192,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,1967,4.4851,68,"Donovan, Harry Nilsson, Led Zeppelin"
193,Bridge Over Troubled Water,Simon & Garfunkel,1970,4.885333333,72,"Crosby, Stills & Nash"
194,All Apologies,Nirvana,1993,3.886216667,69,"Phil Collins, Alice In Chains, Urge Overkill, Orgy"
195,Born in the U.S.A.,Bruce Springsteen,1984,4.644666667,75,"Diana Ross, AC/DC, Billy Joel"
196,Pour Some Sugar On Me - Remastered 2017,Def Leppard,1987,4.4551,74,"New Order, a-ha, Bon Jovi"
197,Better Man,Pearl Jam,1994,4.476433333,67,
198,Over the Hills and Far Away - 1990 Remaster,Led Zeppelin,1973,4.822666667,61,Elton John
199,Blister In The Sun,Violent Femmes,1983,2.428433333,69,
200,Californication,Red Hot Chili Peppers,1999,5.49555,81,
201,Roadhouse Blues (Takes 1 & 2) [We're Gonna Have A Real Good Time] - 2020 Remaster,The Doors,2020,5.000883333,33,"Marianne Faithfull, Jota Quest"
202,Tiny Dancer,Elton John,1971,6.284883333,79,"America, Roberta Flack, The Rolling Stones, Pink Floyd"
203,Aqualung,Jethro Tull,1971,6.6031,65,"Fleetwood Mac, The Doors, The Band"
204,Knockin' On Heaven's Door,Bob Dylan,1973,2.498,73,"Steve Miller Band, Joni Mitchell"
205,For What It's Worth,Buffalo Springfield,1966,2.56155,75,"Bee Gees, The Beatles"
206,White Rabbit,Jefferson Airplane,1967,2.510666667,69,"Carpenters, Bee Gees"
207,What's Going On,Marvin Gaye,1971,3.9411,58,"The Doors, Elvis Presley, Steve Harley, Boz Scaggs"
208,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,3.914433333,70,Aerosmith
209,Thunder Road,Bruce Springsteen,1975,4.812,66,"Tom Petty and the Heartbreakers, Led Zeppelin, Edwin Starr, Boston"
210,Tumbling Dice,The Rolling Stones,1972,3.772216667,60,"Blue Öyster Cult, The Guess Who, Neil Diamond"
211,Ruby Tuesday,The Rolling Stones,1967,3.274883333,62,"Dr. Hook, Them, Paul McCartney, Booker T. & the M.G.'s, The Yardbirds"
212,Epic,Faith No More,1989,4.894216667,70,"Talk Talk, Phil Collins, Iron Maiden, Neil Young, Alice Cooper"
213,Crazy Train,Ozzy Osbourne,1980,4.936666667,56,
214,Live Forever - Remastered,Oasis,1994,4.611016667,24,"Red Snapper, Teenage Fanclub"
215,Dust in the Wind,Kansas,1977,3.437766667,77,"Pink Floyd, Gerry Rafferty"
216,Pinball Wizard,The Who,1969,3.015716667,68,Three Dog Night
217,In The Air Tonight - 2015 Remastered,Phil Collins,1981,5.60755,77,
218,Burning Down the House,Talking Heads,1983,4.032,66,"ZZ Top, AC/DC, Duran Duran, Dio, Dire Straits"
219,Suite: Judy Blue Eyes - 2005 Remaster,"Crosby, Stills & Nash",1969,7.400883333,64,
220,Paradise By the Dashboard Light,Meat Loaf,1977,8.472216667,67,"Asia, Foreigner"
221,Bennie And The Jets - Remastered 2014,Elton John,1973,5.3758,61,"The Rolling Stones, Wings, The Isley Brothers, Sly & The Family Stone, Fleetwood Mac"
222,Johnny B. Goode,Chuck Berry,1959,2.692666667,75,
223,One Step Closer,Linkin Park,2000,2.622216667,75,"Quiet Riot, The Prodigy, Korn, Kid Rock"
224,The Boys Of Summer,Don Henley,1984,4.812216667,76,
225,All The Small Things,blink-182,1999,2.8,5,"Cha Cha Cohen, Foo Fighters, Shania Twain"
226,Chop Suey!,System Of A Down,2001,3.504,80,"Rage Against The Machine, Foo Fighters"
227,"No Woman, No Cry (Arr. Kanneh-Mason)",Various Artists,2020,2.433633333,4,
228,Immigrant Song - Remaster,Led Zeppelin,1970,2.4375,76,"Elton John, The Beatles, The Doobie Brothers, Jimi Hendrix, KISS"
229,Proud Mary,Various Artists,2020,3.079766667,12,"Streetheart, Earth Tongue, Brian McKnight, Budgie"
230,The End,The Doors,1967,11.72288333,61,"The Beatles, Johnny Cash, Jefferson Airplane, Van Morrison"
231,Scar Tissue,Red Hot Chili Peppers,1999,3.598433333,77,"Crossfade, The Smashing Pumpkins, Avril Lavigne, Sublime"
232,Rebel Yell,Billy Idol,1983,4.808883333,72,"Sonic Youth, The Rolling Stones, Iron Maiden"
233,Vertigo,U2,2004,3.242,51,Story Of The Year
234,Times Like These,Foo Fighters,2002,4.427333333,1,"The Grumpies, Afa, Thumb, Queen"
235,I Wanna Be Sedated,Ramones,1978,2.496433333,66,"Rush, Van Halen, Elton John, Duran Duran"
236,It's Only Rock'n'Roll (But I Like It) - Remastered 2009,The Rolling Stones,1974,5.124,57,"Blondie, Blue Öyster Cult, Van Halen, Elton John, George Harrison"
237,White Wedding - Pt. 1,Billy Idol,1982,4.203333333,69,AC/DC
238,Sabotage,Beastie Boys,1994,2.974,72,"Robbie Williams, Powerman 5000, Foo Fighters, The Offspring"
239,Brown Eyed Girl,Van Morrison,1967,3.0551,79,
240,Somebody To Love - Remastered 2011,Queen,1976,4.94155,68,"Boston, Ramones, Commodores"
241,Rockin' in the Free World,Neil Young,1989,4.69755,66,Alice In Chains
242,Uprising,Muse,2009,5.080666667,76,"Cage The Elephant, Slipknot, Mudvayne"
243,Fake Plastic Trees,Radiohead,1995,4.8451,69,"Joni Mitchell, Daryl Braithwaite, Bonnie Raitt"
244,Train in Vain (Stand by Me) - Remastered,The Clash,1979,3.244433333,65,"Eagles, David Bowie, Lynyrd Skynyrd, U2, AC/DC"
245,Lightning Crashes,Live,1994,5.426666667,67,
246,Wake Me up When September Ends,Green Day,2004,4.760883333,77,"Justin Timberlake, Nickelback, Madonna, Gnarls Barkley"
247,Be My Baby,The Ronettes,2011,2.681766667,70,Three Days Grace
248,Get Back - Remastered 2009,The Beatles,1970,3.156433333,64,"The Spencer Davis Group, The Doors"
249,Are You Gonna Go My Way,Lenny Kravitz,1993,3.532216667,73,"Aerosmith, Pantera, Cher"
250,Hey You,Pink Floyd,1979,4.640666667,68,Styx
251,Under My Thumb,The Rolling Stones,1966,3.692216667,64,Free
252,Behind Blue Eyes,The Who,1971,3.690433333,70,"The Doobie Brothers, Boston, The Beatles, Creedence Clearwater Revival, Led Zeppelin"
253,Instant Karma! (We All Shine On) - Remastered 2010,John Lennon,2010,3.344216667,57,"Kings of Leon, Carolina Liar, Arctic Monkeys, Red Hot Chili Peppers"
254,Help! - Remastered 2009,The Beatles,1965,2.326,72,"Creedence Clearwater Revival, The Rolling Stones"
255,Dancing Queen,ABBA,1976,3.844883333,61,"The O'Jays, Daryl Hall & John Oates"
256,Barracuda,Heart,1977,4.36555,74,"Ramones, Electric Light Orchestra, Bob Seger"
257,Today - Remastered,The Smashing Pumpkins,1993,3.352883333,61,"Ozzy Osbourne, Various Artists, Stevie Nicks"
258,Radar Love,Golden Earring,2008,6.4451,63,"Lily Allen, Bobby Darin, The Fratellis, Florence + The Machine, Thirty Seconds To Mars"
259,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,1972,4.69355,82,"Aerosmith, Talking Heads"
260,Champagne Supernova - Remastered,Oasis,1995,7.522,65,"Blur, Nirvana"
261,Beds Are Burning - Remastered,Midnight Oil,1997,4.302883333,63,
262,Brass in Pocket - 2006 Remaster,Pretenders,1980,3.099333333,66,"Queen, Rick James, Def Leppard"
263,Piece of My Heart,Big Brother & The Holding Company,1968,4.222216667,68,"Cream, The Doors"
264,Tangled up in Blue,Bob Dylan,1975,5.693766667,65,"Three Dog Night, Frank Zappa, Foghat, Bachman-Turner Overdrive"
265,My Sweet Lord - Remastered 2014,George Harrison,1970,4.6871,76,
266,The Joker,Steve Miller Band,1973,4.408383333,76,
267,American Woman,The Guess Who,1970,5.124883333,64,Ted Nugent
268,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,1995,4.307766667,72,"Spandau Ballet, The Cranberries, Red Hot Chili Peppers, Korn, Guns N' Roses"
269,Would?,Alice In Chains,1992,3.446216667,71,"Sonic Youth, EMF, Cake, George Harrison, Spin Doctors"
270,Heart-Shaped Box,Nirvana,1993,4.686,75,"Godsmack, Bon Jovi, Jon Bon Jovi"
271,Closer,Nine Inch Nails,1994,6.221766667,60,"U2, Creed, Peter Murphy"
272,Sober,TOOL,1993,5.114216667,68,Cher
273,Magic Carpet Ride,Steppenwolf,1968,4.526216667,70,"Deep Purple, The Spencer Davis Group, The Who, The Animals, The Who"
274,Rock You Like A Hurricane,Scorpions,1984,4.208216667,1,
275,Last Nite,The Strokes,2001,3.222883333,64,Switchfoot
276,Fat Bottomed Girls - Remastered 2011,Queen,1978,4.26,65,
277,The Middle,Jimmy Eat World,2001,2.764216667,78,"Daniel Powter, Muse, Audioslave"
278,Heroes - 2017 Remaster,David Bowie,1977,6.190216667,75,"Supertramp, Steely Dan"
279,Dancing In the Dark,Bruce Springsteen,1984,4.021766667,77,Guns N' Roses
280,Touch Me,The Doors,1969,3.170883333,64,"The Searchers, Raspberries, Led Zeppelin"
